"Object name","Astrometric R.A. (hh:mm:ss.ss)","Astrometric Dec. (dd mm′ss.s″)","RA center dist. (″)","Dec. center dist. (″)","Norm center dist. (″)","Visual magnitude (V)","RA rate (″/h)","Dec. rate (″/h)","",""
"(2011 SP329)","04:37:00.54","+20 51'41.0""","1.3e+2","2.0e+4","1.6e+4","22.7","1.6e+1","-7.5e-1","2011 SP329","bK11SW9P"
"(2011 SX333)","04:47:45.04","+11 28'39.5""","9.0e+3","-2.0e+4","2.0e+4","22.6","1.5e+1","-8.8e+0","2011 SX333","bK11SX3X"
"(2011 SS341)","04:09:05.68","+14 33'43.7""","-2.0e+4","-7.0e+3","2.5e+4","22.2","2.0e+1","5.8e+0","2011 SS341","bK11SY1S"
"(2011 SV341)","04:15:58.10","+10 35'02.2""","-2.0e+4","-2.0e+4","2.8e+4","22.5","1.7e+1","-1.0e+1","2011 SV341","bK11SY1V"
"(2011 SR342)","04:17:08.57","+17 01'29.9""","-2.0e+4","2.0e+3","1.7e+4","23.0","1.3e+1","-2.4e-1","2011 SR342","bK11SY2R"
"(2011 SL353)","04:35:39.01","+21 56'06.5""","-1.0e+3","2.0e+4","2.0e+4","22.7","1.4e+1","3.7e+0","2011 SL353","bK11SZ3L"
"(2011 TN6)","04:41:26.07","+19 17'51.4""","4.0e+3","1.0e+4","1.1e+4","22.8","1.9e+1","2.5e+0","2011 TN6","bK11T06N"
"(2011 TF23)","04:32:24.52","+22 16'21.9""","-4.0e+3","2.0e+4","2.1e+4","22.2","2.0e+1","-9.4e+0","2011 TF23","bK11T23F"
"(2011 UU4)","04:11:34.83","+22 31'58.0""","-2.0e+4","2.0e+4","3.1e+4","22.5","7.5e+0","4.6e+0","2011 UU4","bK11U04U"
"(2011 UF37)","04:37:25.80","+20 57'00.1""","4.9e+2","2.0e+4","1.6e+4","22.3","3.8e+1","-5.5e+0","2011 UF37","bK11U37F"
"(2011 UA76)","05:04:46.07","+22 09'47.5""","2.0e+4","2.0e+4","3.1e+4","22.3","2.5e+1","-8.3e+0","2011 UA76","bK11U76A"
"(2011 UM100)","04:13:11.55","+17 34'54.9""","-2.0e+4","4.0e+3","2.1e+4","22.8","9.6e+0","-4.3e-1","2011 UM100","bK11UA0M"
"(2011 UZ100)","04:24:38.84","+17 45'49.0""","-1.0e+4","5.0e+3","1.1e+4","22.0","1.3e+1","1.1e+0","2011 UZ100","bK11UA0Z"
"(2011 UL364)","04:52:23.41","+21 56'35.5""","1.0e+4","2.0e+4","2.4e+4","22.5","1.8e+1","7.9e+0","2011 UL364","bK11Ua4L"
"(2011 UV366)","04:18:12.20","+17 32'20.4""","-2.0e+4","4.0e+3","1.7e+4","22.5","8.6e+0","4.4e-1","2011 UV366","bK11Ua6V"
"(2011 UO369)","04:52:45.24","+12 46'55.7""","1.0e+4","-1.0e+4","1.9e+4","22.2","1.8e+1","-8.4e+0","2011 UO369","bK11Ua9O"
"(2011 UG373)","04:28:16.15","+16 46'37.7""","-7.0e+3","1.0e+3","7.5e+3","22.5","1.4e+1","3.4e+0","2011 UG373","bK11Ub3G"
"(2011 UQ376)","04:39:21.60","+20 17'35.1""","2.0e+3","1.0e+4","1.4e+4","21.9","2.4e+1","1.2e+1","2011 UQ376","bK11Ub6Q"
"(2011 UJ390)","04:51:46.21","+15 31'30.4""","1.0e+4","-3.0e+3","1.3e+4","21.9","4.2e+1","5.6e+0","2011 UJ390","bK11Ud0J"
"(2011 UZ393)","04:33:50.06","+12 26'53.6""","-3.0e+3","-1.0e+4","1.5e+4","22.3","1.5e+1","-5.3e+0","2011 UZ393","bK11Ud3Z"
"(2011 UE394)","04:39:01.06","+11 13'30.7""","2.0e+3","-2.0e+4","1.9e+4","22.4","1.7e+1","-1.0e+1","2011 UE394","bK11Ud4E"
"(2011 UG394)","04:43:14.54","+16 53'21.8""","6.0e+3","1.0e+3","5.7e+3","22.5","4.6e+1","5.9e+0","2011 UG394","bK11Ud4G"
"(2011 UC400)","04:43:00.50","+20 15'47.3""","5.0e+3","1.0e+4","1.5e+4","22.5","1.1e+1","7.0e+0","2011 UC400","bK11Ue0C"
"(2011 UQ155)","04:40:23.43","+16 54'54.8""","3.0e+3","2.0e+3","3.4e+3","22.5","2.2e+1","3.4e+0","2011 UQ155","bK11UF5Q"
"(2011 US417)","04:52:42.87","+20 37'30.2""","1.0e+4","1.0e+4","2.0e+4","22.6","1.5e+1","8.9e-1","2011 US417","bK11Uf7S"
"(2011 UY419)","04:21:26.78","+15 00'27.7""","-1.0e+4","-5.0e+3","1.4e+4","22.2","1.7e+1","5.2e+0","2011 UY419","bK11Uf9Y"
"(2011 UX431)","04:43:40.67","+14 35'30.4""","6.0e+3","-7.0e+3","9.0e+3","22.1","4.7e+1","-6.8e+0","2011 UX431","bK11Uh1X"
"(2011 UA446)","04:50:47.53","+20 34'38.6""","1.0e+4","1.0e+4","1.9e+4","22.9","3.4e+1","5.0e+0","2011 UA446","bK11Ui6A"
"(2011 UD186)","04:56:18.62","+15 34'33.1""","2.0e+4","-3.0e+3","1.7e+4","22.3","3.6e+1","8.7e-1","2011 UD186","bK11UI6D"
"(2011 UG449)","04:40:57.78","+20 41'30.4""","4.0e+3","2.0e+4","1.6e+4","22.4","1.5e+1","-4.8e+0","2011 UG449","bK11Ui9G"
"(2011 UF451)","04:49:42.46","+17 32'26.3""","1.0e+4","4.0e+3","1.2e+4","22.6","3.7e+1","6.3e+0","2011 UF451","bK11Uj1F"
"(2011 UB195)","04:44:54.50","+21 51'04.1""","7.0e+3","2.0e+4","2.1e+4","22.0","1.3e+1","4.5e+0","2011 UB195","bK11UJ5B"
"(2011 UH455)","04:09:10.00","+18 08'20.2""","-2.0e+4","6.0e+3","2.5e+4","21.9","9.2e+0","-6.2e-1","2011 UH455","bK11Uj5H"
"(2011 US455)","04:37:08.60","+22 12'15.2""","2.5e+2","2.0e+4","2.1e+4","22.6","1.6e+1","1.8e+0","2011 US455","bK11Uj5S"
"(2011 UV457)","04:23:45.67","+10 57'35.0""","-1.0e+4","-2.0e+4","2.3e+4","21.8","2.3e+1","-4.9e+0","2011 UV457","bK11Uj7V"
"(2011 UD460)","04:45:28.30","+21 48'12.7""","7.0e+3","2.0e+4","2.1e+4","22.5","1.7e+1","5.0e+0","2011 UD460","bK11Uk0D"
"(2011 UO463)","04:34:45.19","+12 11'48.9""","-2.0e+3","-2.0e+4","1.6e+4","22.1","2.7e+1","-3.3e+0","2011 UO463","bK11Uk3O"
"(2011 UR469)","04:39:35.38","+22 10'51.0""","2.0e+3","2.0e+4","2.1e+4","22.6","1.6e+1","2.4e+0","2011 UR469","bK11Uk9R"
"(2011 UM211)","04:50:37.02","+22 06'03.8""","1.0e+4","2.0e+4","2.3e+4","22.4","1.7e+1","-3.1e+0","2011 UM211","bK11UL1M"
"(2011 UT471)","04:54:05.83","+22 09'10.3""","1.0e+4","2.0e+4","2.5e+4","23.0","1.4e+1","6.3e+0","2011 UT471","bK11Ul1T"
"(2011 UH480)","04:39:26.04","+16 18'02.6""","2.0e+3","-6.3e+2","2.3e+3","22.0","1.8e+1","-3.7e+0","2011 UH480","bK11Um0H"
"(2011 UU222)","04:56:00.92","+22 07'29.1""","2.0e+4","2.0e+4","2.6e+4","22.5","2.1e+1","5.1e+0","2011 UU222","bK11UM2U"
"(2011 UP484)","04:48:41.51","+14 06'27.9""","1.0e+4","-9.0e+3","1.3e+4","22.2","2.2e+1","-1.6e+1","2011 UP484","bK11Um4P"
"(2011 UC485)","04:22:34.07","+15 59'49.5""","-1.0e+4","-2.0e+3","1.2e+4","22.3","2.9e+1","4.7e+0","2011 UC485","bK11Um5C"
"(2011 UE485)","04:59:48.72","+14 27'45.9""","2.0e+4","-7.0e+3","2.1e+4","22.6","4.3e+1","2.7e+0","2011 UE485","bK11Um5E"
"(2011 UC486)","05:00:53.91","+12 24'56.4""","2.0e+4","-1.0e+4","2.6e+4","22.9","2.2e+1","-1.2e+1","2011 UC486","bK11Um6C"
"(2011 UY489)","04:18:08.68","+20 04'52.2""","-2.0e+4","1.0e+4","2.1e+4","22.6","1.2e+1","9.3e-1","2011 UY489","bK11Um9Y"
"(2011 UV230)","04:48:30.63","+19 09'13.0""","1.0e+4","1.0e+4","1.4e+4","22.2","3.6e+1","-7.6e+0","2011 UV230","bK11UN0V"
"(2011 UB491)","04:35:20.52","+16 30'36.7""","-1.0e+3","1.2e+2","1.3e+3","22.7","4.3e+1","-1.0e+1","2011 UB491","bK11Un1B"
"(2011 UN231)","04:14:11.41","+16 23'47.6""","-2.0e+4","-2.9e+2","2.0e+4","22.3","2.7e+1","-3.6e+1","2011 UN231","bK11UN1N"
"(2011 UR492)","04:56:28.17","+19 04'46.8""","2.0e+4","9.0e+3","1.9e+4","22.7","1.9e+1","-5.3e-1","2011 UR492","bK11Un2R"
"(2011 UK233)","04:23:51.37","+22 02'36.8""","-1.0e+4","2.0e+4","2.3e+4","22.7","1.0e+1","2.3e+0","2011 UK233","bK11UN3K"
"(2011 UM274)","04:43:36.03","+18 56'21.9""","6.0e+3","9.0e+3","1.1e+4","22.4","1.8e+1","3.6e-1","2011 UM274","bK11UR4M"
"(2011 UO288)","04:41:37.75","+10 07'28.5""","4.0e+3","-2.0e+4","2.3e+4","21.9","2.3e+1","-1.7e+1","2011 UO288","bK11US8O"
"(2011 UP344)","05:02:14.35","+20 55'14.1""","2.0e+4","2.0e+4","2.7e+4","22.4","1.5e+1","3.1e+0","2011 UP344","bK11UY4P"
"(2011 VQ10)","04:24:34.27","+21 05'19.3""","-1.0e+4","2.0e+4","2.0e+4","22.4","4.7e+1","1.5e+1","2011 VQ10","bK11V10Q"
"(2011 VB18)","04:51:59.33","+13 29'38.5""","1.0e+4","-1.0e+4","1.7e+4","22.3","2.9e+1","3.0e+1","2011 VB18","bK11V18B"
"(2011 VB32)","04:42:42.49","+18 21'09.9""","5.0e+3","7.0e+3","8.4e+3","22.3","1.3e+1","-9.7e+0","2011 VB32","bK11V32B"
"(2011 WX12)","04:58:59.49","+19 24'39.9""","2.0e+4","1.0e+4","2.2e+4","22.4","3.2e+1","1.2e+1","2011 WX12","bK11W12X"
"(2011 WX53)","04:16:21.78","+17 22'31.8""","-2.0e+4","3.0e+3","1.8e+4","22.2","2.6e+1","1.4e+1","2011 WX53","bK11W53X"
"(2011 WV85)","04:21:42.84","+16 16'35.1""","-1.0e+4","-7.2e+2","1.3e+4","22.6","6.8e+0","4.3e+0","2011 WV85","bK11W85V"
"(2011 WQ107)","04:55:19.60","+18 00'02.5""","2.0e+4","5.0e+3","1.7e+4","22.6","5.2e+1","5.8e+0","2011 WQ107","bK11WA7Q"
"(2011 WR110)","04:50:22.16","+19 33'22.1""","1.0e+4","1.0e+4","1.6e+4","22.4","1.1e+1","3.5e+0","2011 WR110","bK11WB0R"
"(2011 WM111)","05:01:40.59","+20 04'04.3""","2.0e+4","1.0e+4","2.5e+4","22.9","3.8e+1","3.0e+0","2011 WM111","bK11WB1M"
"(2011 WW138)","04:53:08.76","+19 14'22.9""","1.0e+4","1.0e+4","1.7e+4","22.6","3.3e+1","1.2e+1","2011 WW138","bK11WD8W"
"(2011 WB164)","04:30:29.11","+22 48'23.2""","-6.0e+3","2.0e+4","2.3e+4","21.9","2.6e+1","6.6e+0","2011 WB164","bK11WG4B"
"(2011 WH174)","04:33:46.24","+20 57'32.7""","-3.0e+3","2.0e+4","1.6e+4","22.2","1.4e+1","5.5e+0","2011 WH174","bK11WH4H"
"(2011 WH176)","04:15:11.81","+21 33'29.7""","-2.0e+4","2.0e+4","2.6e+4","22.4","3.2e+1","1.5e+0","2011 WH176","bK11WH6H"
"(2011 WU177)","04:38:43.34","+14 45'00.7""","2.0e+3","-6.0e+3","6.4e+3","21.7","3.7e+1","2.9e+0","2011 WU177","bK11WH7U"
"(2011 WM184)","04:42:30.72","+17 10'00.8""","5.0e+3","2.0e+3","5.5e+3","22.6","3.4e+1","5.9e+0","2011 WM184","bK11WI4M"
"(2011 XF)","04:40:27.28","+10 55'51.0""","3.0e+3","-2.0e+4","2.0e+4","24.3","1.0e+2","9.6e+0","2011 XF","bK11X00F"
"(2011 XG2)","04:26:26.01","+15 43'02.8""","-9.0e+3","-3.0e+3","9.4e+3","22.1","1.6e+1","-8.1e+0","2011 XG2","bK11X02G"
"(2011 YP3)","04:58:45.47","+19 48'25.1""","2.0e+4","1.0e+4","2.2e+4","21.0","4.7e+1","1.4e+1","2011 YP3","bK11Y03P"
"(2011 YT26)","04:32:19.68","+15 07'15.1""","-4.0e+3","-5.0e+3","6.3e+3","22.4","1.5e+1","-3.8e+0","2011 YT26","bK11Y26T"
"(2011 YA51)","04:42:26.23","+19 46'04.3""","5.0e+3","1.0e+4","1.3e+4","22.5","3.0e+1","1.6e+1","2011 YA51","bK11Y51A"
"(2011 YO77)","04:52:35.43","+13 44'31.7""","1.0e+4","-1.0e+4","1.7e+4","21.7","1.9e+1","3.5e+0","2011 YO77","bK11Y77O"
"(2011 YE81)","04:37:44.77","+18 14'42.9""","7.7e+2","6.0e+3","6.4e+3","22.5","6.3e+0","3.4e+0","2011 YE81","bK11Y81E"
"(2011 YL82)","04:25:29.73","+20 12'51.2""","-1.0e+4","1.0e+4","1.7e+4","22.8","2.8e+0","3.9e+0","2011 YL82","bK11Y82L"
"(2011 YF92)","04:34:21.68","+12 05'25.7""","-2.0e+3","-2.0e+4","1.6e+4","21.9","9.7e+0","2.5e-1","2011 YF92","bK11Y92F"
"(2011 YR97)","05:04:07.14","+16 44'42.5""","2.0e+4","9.7e+2","2.4e+4","22.3","1.9e+1","4.3e+0","2011 YR97","bK11Y97R"
"(2012 AV4)","04:31:39.28","+17 51'47.9""","-4.0e+3","5.0e+3","6.7e+3","22.0","3.0e+1","3.4e+0","2012 AV4","bK12A04V"
"(2012 AN20)","04:56:50.98","+18 54'54.3""","2.0e+4","9.0e+3","1.9e+4","22.4","3.2e+1","8.3e-1","2012 AN20","bK12A20N"
"(2012 AQ32)","04:47:22.01","+22 21'43.1""","9.0e+3","2.0e+4","2.3e+4","22.3","2.0e+1","1.6e+0","2012 AQ32","bK12A32Q"
"(2012 AS36)","04:20:41.66","+12 07'08.8""","-1.0e+4","-2.0e+4","2.1e+4","21.9","1.3e+0","-3.1e+0","2012 AS36","bK12A36S"
"(2012 AU36)","04:35:52.49","+22 36'44.3""","-8.5e+2","2.0e+4","2.2e+4","22.6","2.1e+1","-1.6e-2","2012 AU36","bK12A36U"
"(2012 BP5)","04:34:39.03","+14 14'23.2""","-2.0e+3","-8.0e+3","8.3e+3","23.2","1.4e+1","-1.6e+0","2012 BP5","bK12B05P"
"(2012 BK6)","04:49:49.26","+15 04'34.4""","1.0e+4","-5.0e+3","1.2e+4","23.4","3.2e+1","3.7e-1","2012 BK6","bK12B06K"
"(2012 BU7)","04:24:23.90","+21 10'07.7""","-1.0e+4","2.0e+4","2.0e+4","22.5","1.3e+1","3.2e+0","2012 BU7","bK12B07U"
"(2012 BO27)","04:31:56.99","+13 53'21.5""","-4.0e+3","-9.0e+3","1.0e+4","22.5","8.3e+0","3.2e+0","2012 BO27","bK12B27O"
"(2012 BG39)","04:43:55.01","+16 41'34.6""","6.0e+3","7.8e+2","6.1e+3","22.8","3.6e+1","3.1e+0","2012 BG39","bK12B39G"
"(2012 BX44)","04:57:49.41","+21 08'46.3""","2.0e+4","2.0e+4","2.5e+4","23.3","1.7e+1","2.7e+0","2012 BX44","bK12B44X"
"(2012 BT46)","04:27:24.86","+13 31'20.7""","-8.0e+3","-1.0e+4","1.3e+4","22.0","1.9e+0","-1.8e+0","2012 BT46","bK12B46T"
"(2012 BX68)","04:48:52.06","+21 16'58.5""","1.0e+4","2.0e+4","2.0e+4","22.3","1.7e+1","3.5e+0","2012 BX68","bK12B68X"
"(2012 BD72)","04:58:56.28","+20 46'23.6""","2.0e+4","2.0e+4","2.4e+4","23.5","1.6e+1","3.0e-2","2012 BD72","bK12B72D"
"(2012 BS76)","04:13:09.54","+17 30'34.7""","-2.0e+4","4.0e+3","2.1e+4","22.2","-2.1e-1","-9.4e-2","2012 BS76","bK12B76S"
"(2012 BT76)","04:23:26.76","+12 59'28.2""","-1.0e+4","-1.0e+4","1.7e+4","22.1","1.8e+0","-2.1e+0","2012 BT76","bK12B76T"
"(2012 BC77)","04:34:12.44","+16 03'45.1""","-2.0e+3","-1.0e+3","2.7e+3","29.8","6.1e+0","-4.2e+0","2012 BC77","bK12B77C"
"(2012 BH79)","04:08:52.64","+15 30'32.9""","-2.0e+4","-3.0e+3","2.4e+4","22.5","9.3e+0","-5.9e-1","2012 BH79","bK12B79H"
"(2012 BG97)","04:37:47.17","+14 42'42.5""","8.0e+2","-6.0e+3","6.4e+3","22.7","3.1e+0","-5.6e+0","2012 BG97","bK12B97G"
"(2012 BG100)","04:22:04.79","+22 58'37.9""","-1.0e+4","2.0e+4","2.7e+4","23.8","1.1e+1","6.0e+0","2012 BG100","bK12BA0G"
"(2012 BT107)","05:01:25.34","+20 53'04.0""","2.0e+4","2.0e+4","2.6e+4","23.1","2.1e+1","2.1e+0","2012 BT107","bK12BA7T"
"(2012 BW118)","04:15:43.04","+22 37'57.4""","-2.0e+4","2.0e+4","2.9e+4","22.5","2.2e+1","6.6e+0","2012 BW118","bK12BB8W"
"(2012 BE138)","04:11:59.90","+20 05'34.3""","-2.0e+4","1.0e+4","2.5e+4","22.9","5.4e+0","-2.7e-1","2012 BE138","bK12BD8E"
"(2012 BZ139)","04:31:41.38","+18 12'45.5""","-4.0e+3","6.0e+3","7.7e+3","22.5","4.9e+0","2.7e+0","2012 BZ139","bK12BD9Z"
"(2012 BU155)","04:14:26.01","+12 23'56.2""","-2.0e+4","-1.0e+4","2.4e+4","21.9","8.0e-1","-2.7e+0","2012 BU155","bK12BF5U"
"(2012 BD156)","04:35:10.21","+15 17'59.3""","-1.0e+3","-4.0e+3","4.5e+3","23.1","7.0e+0","-4.3e+0","2012 BD156","bK12BF6D"
"(2012 BE156)","04:29:47.65","+19 42'55.8""","-6.0e+3","1.0e+4","1.3e+4","22.5","6.5e+0","2.5e-1","2012 BE156","bK12BF6E"
"(2012 BJ156)","04:37:44.07","+13 21'04.8""","7.6e+2","-1.0e+4","1.1e+4","22.0","1.6e+1","-3.3e+0","2012 BJ156","bK12BF6J"
"(2012 BR156)","04:24:06.44","+22 15'06.5""","-1.0e+4","2.0e+4","2.3e+4","22.9","5.2e+0","2.2e+0","2012 BR156","bK12BF6R"
"(2012 BL163)","04:47:20.30","+12 07'50.1""","9.0e+3","-2.0e+4","1.8e+4","22.8","4.0e+0","8.3e-1","2012 BL163","bK12BG3L"
"(2012 BA170)","04:33:24.03","+10 23'12.0""","-3.0e+3","-2.0e+4","2.2e+4","23.2","5.2e+0","-2.4e+0","2012 BA170","bK12BH0A"
"(2012 BL171)","04:46:37.76","+12 17'17.9""","8.0e+3","-2.0e+4","1.7e+4","23.2","1.3e+1","-3.6e+0","2012 BL171","bK12BH1L"
"(2012 BU172)","04:23:45.81","+12 41'41.4""","-1.0e+4","-1.0e+4","1.8e+4","21.9","1.7e+0","-2.3e+0","2012 BU172","bK12BH2U"
"(2012 BH177)","04:24:00.00","+10 54'02.7""","-1.0e+4","-2.0e+4","2.3e+4","22.0","1.1e+1","-9.4e+0","2012 BH177","bK12BH7H"
"(2012 BJ177)","04:23:18.14","+21 06'29.3""","-1.0e+4","2.0e+4","2.0e+4","22.5","5.8e+0","-6.7e-1","2012 BJ177","bK12BH7J"
"(2012 BQ178)","04:29:14.33","+19 26'13.9""","-7.0e+3","1.0e+4","1.2e+4","22.3","1.4e+1","-9.4e-1","2012 BQ178","bK12BH8Q"
"(2012 BR178)","04:40:34.54","+13 55'24.8""","3.0e+3","-9.0e+3","9.7e+3","22.1","1.3e+1","1.5e+0","2012 BR178","bK12BH8R"
"(2012 BB181)","04:56:42.76","+13 01'20.9""","2.0e+4","-1.0e+4","2.1e+4","22.1","4.9e+0","-3.1e+0","2012 BB181","bK12BI1B"
"(2012 BQ186)","04:33:59.62","+19 45'57.0""","-2.0e+3","1.0e+4","1.2e+4","22.6","2.1e+1","-2.5e+0","2012 BQ186","bK12BI6Q"
"(2012 BR186)","04:32:34.36","+13 23'58.7""","-4.0e+3","-1.0e+4","1.2e+4","22.9","2.6e+1","9.2e-1","2012 BR186","bK12BI6R"
"(2012 BA188)","04:46:56.36","+16 10'12.8""","9.0e+3","-1.0e+3","8.8e+3","22.1","3.7e+0","4.3e-1","2012 BA188","bK12BI8A"
"(2012 BT188)","04:18:37.94","+14 23'00.3""","-2.0e+4","-8.0e+3","1.8e+4","22.6","8.5e+0","-5.5e-1","2012 BT188","bK12BI8T"
"(2012 BU190)","04:49:28.51","+20 38'55.3""","1.0e+4","2.0e+4","1.8e+4","23.2","1.1e+1","7.6e-1","2012 BU190","bK12BJ0U"
"(2012 CU5)","04:24:58.37","+13 50'54.6""","-1.0e+4","-9.0e+3","1.4e+4","22.4","1.4e+1","1.3e-1","2012 CU5","bK12C05U"
"(2012 CY6)","04:18:18.24","+22 35'04.1""","-2.0e+4","2.0e+4","2.7e+4","23.0","7.6e+0","2.6e+0","2012 CY6","bK12C06Y"
"(2012 CV16)","05:04:19.07","+15 12'19.1""","2.0e+4","-5.0e+3","2.4e+4","22.4","3.2e+1","-2.7e+0","2012 CV16","bK12C16V"
"(2012 CQ26)","04:15:49.97","+19 16'29.0""","-2.0e+4","1.0e+4","2.1e+4","22.8","8.5e+0","3.5e-1","2012 CQ26","bK12C26Q"
"(2012 CS31)","04:25:02.79","+11 01'25.6""","-1.0e+4","-2.0e+4","2.2e+4","22.4","3.3e+1","-1.1e+1","2012 CS31","bK12C31S"
"(2012 CG32)","04:54:27.30","+12 39'59.8""","2.0e+4","-1.0e+4","2.1e+4","22.2","1.8e+1","-7.6e+0","2012 CG32","bK12C32G"
"(2012 CV43)","04:23:44.60","+14 29'34.6""","-1.0e+4","-7.0e+3","1.3e+4","22.0","8.7e+0","-3.4e+0","2012 CV43","bK12C43V"
"(2012 CG46)","04:55:10.29","+20 22'13.5""","2.0e+4","1.0e+4","2.1e+4","21.6","1.9e+1","1.1e+1","2012 CG46","bK12C46G"
"(2012 CL48)","04:28:06.36","+10 32'47.4""","-8.0e+3","-2.0e+4","2.3e+4","22.3","5.5e+0","-2.2e+0","2012 CL48","bK12C48L"
"(2012 CC49)","04:36:42.82","+10 33'08.9""","-1.3e+2","-2.0e+4","2.1e+4","21.4","1.1e+1","-1.6e+0","2012 CC49","bK12C49C"
"(2012 CU57)","05:01:43.29","+17 13'52.9""","2.0e+4","3.0e+3","2.2e+4","21.8","5.9e+0","4.0e-1","2012 CU57","bK12C57U"
"(2012 CX67)","04:22:19.14","+13 13'47.3""","-1.0e+4","-1.0e+4","1.7e+4","22.7","5.4e+0","-1.4e+0","2012 CX67","bK12C67X"
"(2012 CL70)","04:55:05.81","+17 15'26.9""","2.0e+4","3.0e+3","1.6e+4","22.2","1.8e+1","1.3e+0","2012 CL70","bK12C70L"
"(2012 CT72)","04:29:53.71","+21 04'05.7""","-6.0e+3","2.0e+4","1.8e+4","22.9","4.1e+1","4.1e+0","2012 CT72","bK12C72T"
"(2012 CZ73)","04:26:34.10","+20 08'48.0""","-9.0e+3","1.0e+4","1.6e+4","23.1","9.4e+0","2.2e+0","2012 CZ73","bK12C73Z"
"(2012 DE10)","04:25:00.58","+20 28'50.1""","-1.0e+4","1.0e+4","1.8e+4","23.2","1.7e+1","5.0e+0","2012 DE10","bK12D10E"
"(2012 DG12)","04:18:45.25","+12 03'36.1""","-2.0e+4","-2.0e+4","2.2e+4","22.5","1.2e+1","-4.6e+0","2012 DG12","bK12D12G"
"(2012 DA13)","04:19:15.28","+11 02'08.4""","-2.0e+4","-2.0e+4","2.5e+4","21.8","1.0e+1","-1.0e+1","2012 DA13","bK12D13A"
"(2012 DW42)","04:12:48.91","+19 06'05.0""","-2.0e+4","9.0e+3","2.3e+4","23.3","8.4e+0","7.3e-1","2012 DW42","bK12D42W"
"(2012 DJ45)","04:55:01.51","+21 21'57.9""","2.0e+4","2.0e+4","2.3e+4","23.0","1.6e+1","3.5e+0","2012 DJ45","bK12D45J"
"(2012 DN54)","04:45:06.18","+12 42'28.1""","7.0e+3","-1.0e+4","1.5e+4","24.5","1.3e+1","-7.5e+0","2012 DN54","bK12D54N"
"(2012 DF57)","04:48:15.64","+22 21'45.7""","1.0e+4","2.0e+4","2.3e+4","24.1","1.4e+1","1.2e+0","2012 DF57","bK12D57F"
"(2012 DJ63)","04:46:50.21","+22 53'49.3""","9.0e+3","2.0e+4","2.5e+4","22.8","2.0e+1","6.9e+0","2012 DJ63","bK12D63J"
"(2012 DO63)","04:15:28.38","+14 01'23.2""","-2.0e+4","-9.0e+3","2.1e+4","22.6","8.1e+0","-3.9e+0","2012 DO63","bK12D63O"
"(2012 DQ65)","05:04:38.85","+14 07'58.0""","2.0e+4","-8.0e+3","2.6e+4","23.2","2.3e+1","-5.6e+0","2012 DQ65","bK12D65Q"
"(2012 DS68)","05:02:07.05","+17 31'19.9""","2.0e+4","4.0e+3","2.2e+4","22.8","5.1e+1","-2.0e+0","2012 DS68","bK12D68S"
"(2012 DM76)","04:55:34.27","+09 52'08.6""","2.0e+4","-2.0e+4","2.9e+4","22.3","1.3e+1","-8.4e+0","2012 DM76","bK12D76M"
"(2012 DP92)","04:11:00.01","+20 39'18.7""","-2.0e+4","2.0e+4","2.7e+4","23.3","5.2e+0","1.4e+0","2012 DP92","bK12D92P"
"(2012 DU92)","04:26:10.70","+20 45'23.1""","-9.0e+3","2.0e+4","1.8e+4","22.4","8.7e+0","9.1e-1","2012 DU92","bK12D92U"
"(2012 DJ100)","05:04:49.60","+13 08'32.1""","2.0e+4","-1.0e+4","2.7e+4","22.4","1.4e+1","-7.3e+0","2012 DJ100","bK12DA0J"
"(2012 DD104)","04:40:27.46","+16 52'15.8""","3.0e+3","1.0e+3","3.4e+3","22.7","1.3e+1","-6.5e+0","2012 DD104","bK12DA4D"
"(2012 DZ106)","04:17:21.89","+22 15'54.4""","-2.0e+4","2.0e+4","2.7e+4","23.0","5.4e+0","5.3e+0","2012 DZ106","bK12DA6Z"
"(2012 DZ108)","04:44:08.83","+15 56'38.7""","6.0e+3","-2.0e+3","6.6e+3","23.4","1.2e+1","-3.5e+0","2012 DZ108","bK12DA8Z"
"(2012 DU109)","04:29:32.26","+17 20'49.7""","-6.0e+3","3.0e+3","7.0e+3","22.9","6.3e+0","6.7e+0","2012 DU109","bK12DA9U"
"(2012 DV113)","04:55:53.00","+15 43'23.2""","2.0e+4","-3.0e+3","1.7e+4","23.9","1.5e+1","-1.3e+0","2012 DV113","bK12DB3V"
"(2012 DC116)","04:23:52.92","+17 15'49.6""","-1.0e+4","3.0e+3","1.2e+4","24.0","1.2e+1","-1.6e+0","2012 DC116","bK12DB6C"
"(2012 DZ117)","04:32:08.52","+18 10'29.0""","-4.0e+3","6.0e+3","7.3e+3","23.5","9.2e+0","-4.8e-1","2012 DZ117","bK12DB7Z"
"(2012 DT119)","04:59:34.10","+22 38'41.4""","2.0e+4","2.0e+4","2.9e+4","22.7","1.4e+1","5.8e+0","2012 DT119","bK12DB9T"
"(2012 DS120)","04:54:19.42","+20 30'34.9""","2.0e+4","1.0e+4","2.1e+4","23.4","1.6e+1","3.4e+0","2012 DS120","bK12DC0S"
"(2012 DU125)","04:08:51.81","+11 18'40.1""","-2.0e+4","-2.0e+4","3.1e+4","22.9","1.4e+0","-3.4e-1","2012 DU125","bK12DC5U"
"(2012 DZ125)","04:38:52.75","+14 04'44.2""","2.0e+3","-9.0e+3","8.8e+3","22.8","1.2e+1","-9.0e+0","2012 DZ125","bK12DC5Z"
